td_or_asd,FSR,TDNorm_avg_PE,overall_avg_PE,TDnorm_concept_learning,overall_concept_learning,free_response_TDprof_norm,FSR_scaled,TDNorm_avg_PE_scaled,overall_avg_PE_scaled,personality_inference_mentioned,personality_inference_positive,personality_inference_negative,personality_inference_neutral,sweets_mentioned,sweets_positive,sweets_negative,sweets_neutral,Fruits_and_vegetables_mentioned,Fruits_and_vegetables_positive,Fruits_and_vegetables_negative,Fruits_and_vegetables_neutral,healthy_savory_food_mentioned,healthy_savory_food_positive,healthy_savory_food_negative,healthy_savory_food_neutral,food_mentioned,food_positive,food_negative,food_neutral,cosmetics_mentioned,cosmetics_positive,cosmetics_negative,cosmetics_neutral,fashion_mentioned,fashion_positive,fashion_negative,fashion_neutral,toys_gadgets_and_games_mentioned,toys_gadgets_and_games_positive,toys_gadgets_and_games_negative,toys_gadgets_and_games_neutral,sports_mentioned,sports_positive,sports_negative,sports_neutral,music_mentioned,music_positive,music_negative,music_neutral,arts_and_crafts_mentioned,arts_and_crafts_positive,arts_and_crafts_negative,arts_and_crafts_neutral,word_count,sentence_count,char_count,avg_word_length,avg_sentence_length,shortness_score,lexical_diversity,sentiment_polarity,sentiment_subjectivity,positive_word_count,negative_word_count,positive_word_ratio,negative_word_ratio,flesch_reading_ease,flesch_kincaid_grade
1,47.0,5.36666666666667,6.11111111111111,-0.102327730932942,-0.217875815506071,ljoin,0.8378273473405308,-0.21022034563781086,-0.2772767549217004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,5.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,121.22000000000003,-3.3999999999999986
1,54.0,4.35,5.77222222222222,-0.127691618351794,0.0679514978506851,He liked bacon and strawberries,1.224025375377692,-1.0087571057476457,-0.6091028275050151,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,1.0,31.0,5.4,5.0,0.16666666666666666,1.0,0.6,0.8,0.0,0.0,0.0,0.0,66.40000000000003,5.240000000000002
1,17.0,7.53333333333333,8.16666666666667,0.215941210569229,-0.0153510091308808,She likes food a lot. She likes basketball,-0.817307058533017,1.4915793070552683,1.7354387673049632,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9.0,2.0,42.0,3.888888888888889,4.5,0.1,0.7777777777777778,0.0,0.0,2.0,0.0,0.2222222222222222,0.0,97.025,0.7199999999999989
1,30.0,4.98333333333333,5.45555555555556,-0.270790033604384,-0.123703543316641,He does not like ice skating,-0.1000821493211463,-0.5113079764989003,-0.9191698133615481,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,1.0,28.0,3.8333333333333335,6.0,0.14285714285714285,1.0,0.0,0.0,1.0,1.0,0.16666666666666666,0.16666666666666666,102.045,0.5166666666666693
0,23.0,5.08333333333333,5.86666666666667,-0.0232820478771827,-0.0857437100964292,Unlike me in a lot of ways,-0.4862801773583075,-0.4327633771438344,-0.5166267089162178,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,1.0,26.0,2.857142857142857,7.0,0.125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,103.04428571428575,0.6257142857142846
1,50.0,7.8,8.13333333333333,0.0843728001540454,0.0246045957995915,roman is a 12 year boy in 7th grade,1.0033407879278855,1.701031572002112,1.702800137214794,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9.0,1.0,35.0,3.0,9.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,103.70000000000002,1.0311111111111124
0,11.0,5.66666666666667,6.97222222222222,0.228178691716822,0.0154817758738652,Alex likes a lot of food. He also likes some instruments. He likes a lot of greens like lettuce. Alex also likes outside games.,-1.1483339397077266,0.025413452427385307,0.5658878557408178,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,28.0,4.0,127.0,3.7142857142857144,7.0,0.034482758620689655,0.5714285714285714,0.0,0.05,5.0,0.0,0.17857142857142858,0.0,87.94500000000002,2.4833333333333343
1,17.0,8.3,9.05,0.0949718637013341,-0.0980976280999993,"She likes fruits,she likes taking pictures and drawing.
She does not like to play basketball and exercising.",-0.817307058533017,2.09375456877744,2.600362464694255,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,2.0,108.0,4.380952380952381,10.5,0.045454545454545456,0.7619047619047619,0.0,0.0,3.0,1.0,0.14285714285714285,0.047619047619047616,73.79573529411766,5.077941176470592
0,15.0,5.41666666666667,6.39444444444444,0.0432850517816422,-0.0888246034303058,its elementary not middle school,-0.9276493522579202,-0.1709480459602783,0.00015160084467423892,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,1.0,32.0,5.6,5.0,0.16666666666666666,1.0,0.15,0.45,0.0,1.0,0.0,0.2,49.48000000000002,7.600000000000001
1,32.0,4.18333333333333,5.62777777777778,0.123091079511666,0.0138077901243167,a partial tomboy ,0.010260144403756883,-1.1396647713394237,-0.7505368912290465,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,17.0,4.666666666666667,3.0,0.25,1.0,-0.1,0.3,0.0,0.0,0.0,0.0,62.79000000000002,5.246666666666666
